CVE,CVSSv2,CVSSv3
CVE-2016-0101,9.3,8.8
CVE-2016-0102,7.6,7.5
CVE-2016-0103,7.6,7.5
CVE-2016-0104,7.6,7.5
CVE-2016-0105,7.6,7.5
CVE-2016-0106,7.6,7.5
CVE-2016-0107,7.6,7.5
CVE-2016-0108,7.6,7.5
CVE-2016-0109,7.6,7.5
CVE-2016-0110,7.6,7.5
CVE-2016-0111,7.6,7.5
CVE-2016-0112,7.6,7.5
CVE-2016-0113,7.6,7.5
CVE-2016-0114,7.6,7.5
CVE-2016-0116,7.6,7.5
CVE-2016-0117,9.3,7.8
CVE-2016-0118,9.3,7.8
CVE-2016-0120,7.1,6.5
CVE-2016-0121,9.3,8.8
CVE-2016-0123,7.6,7.5
CVE-2016-0124,7.6,7.5
CVE-2016-0125,2.6,3.1
CVE-2016-0129,7.6,7.5
CVE-2016-0130,7.6,7.5
CVE-2016-0132,10,9.8
CVE-2016-0133,7.2,6.8
CVE-2016-0134,9.3,7.8
CVE-2016-0201,4.3,5.9
CVE-2016-0208,4.3,3.7
CVE-2016-0209,4.3,6.1
CVE-2016-0212,10,9.8
CVE-2016-0213,10,9.8
CVE-2016-0216,10,9.8
CVE-2016-0222,4,4.3
CVE-2016-0225,4,4.9
CVE-2016-0226,6.9,7.8
CVE-2016-0227,3.5,5.4
CVE-2016-0231,4,4.3
CVE-2016-0232,4,4.3
CVE-2016-0243,4.3,6.1
CVE-2016-0244,4.3,6.1
CVE-2016-0245,5.5,5.4
CVE-2016-0262,3.5,5.4
CVE-2016-0283,4.3,6.1
CVE-2016-0289,4,4.3
CVE-2016-0701,2.6,3.7
CVE-2016-0702,1.9,5.1
CVE-2016-0703,4.3,5.9
CVE-2016-0704,4.3,5.9
CVE-2016-0705,10,9.8
CVE-2016-0706,4,4.3
CVE-2016-0714,6.5,8.8
CVE-2016-0723,5.6,6.8
CVE-2016-0724,4,4.3
CVE-2016-0725,4.3,6.1
CVE-2016-0728,7.2,7.8
CVE-2016-0737,5,7.5
CVE-2016-0738,5,7.5
CVE-2016-0742,5,5.3
CVE-2016-0746,7.5,7.3
CVE-2016-0747,5,5.3
CVE-2016-0751,5,7.5
CVE-2016-0752,5,7.5
CVE-2016-0753,5,5.3
CVE-2016-0754,5,5.3
CVE-2016-0755,5,7.3
CVE-2016-0756,5,5.3
CVE-2016-0763,6.5,6.3
CVE-2016-0766,9,8.8
CVE-2016-0771,4.9,5.9
CVE-2016-0773,5,7.5
CVE-2016-0777,4,6.5
CVE-2016-0778,6.5,9.8
CVE-2016-0793,5,7.5
CVE-2016-0794,9.3,7.8
CVE-2016-0795,9.3,7.8
CVE-2016-0797,5,7.5
CVE-2016-0798,7.8,7.5
CVE-2016-0799,10,9.8
CVE-2016-0800,4.3,5.9
CVE-2016-0801,8.3,9.8
CVE-2016-0802,8.3,8.8
CVE-2016-0803,10,9.8
CVE-2016-0804,10,9.8
CVE-2016-0805,7.2,8.4
CVE-2016-0806,7.2,8.4
CVE-2016-0807,7.2,8.4
CVE-2016-0808,4.9,6.2
CVE-2016-0809,8.3,8.8
CVE-2016-0810,6.9,7.8
CVE-2016-0811,7.8,7.5
CVE-2016-0812,6.6,6.1
CVE-2016-0813,6.6,6.1
CVE-2016-0815,10,9.8
CVE-2016-0816,10,9.8
CVE-2016-0818,4.3,5.9
CVE-2016-0819,9.3,7.8
CVE-2016-0820,9.3,7.8
CVE-2016-0821,5,7.5
CVE-2016-0822,7.6,7
CVE-2016-0823,2.1,4
CVE-2016-0824,5,5.3
CVE-2016-0825,5,5.3
CVE-2016-0826,9.3,7.8
CVE-2016-0827,9.3,7.8
CVE-2016-0828,5,7.5
CVE-2016-0829,5,7.5
CVE-2016-0830,3.3,6.5
CVE-2016-0831,4.3,5.5
CVE-2016-0832,6.6,6.1
CVE-2016-0851,7.8,7.5
CVE-2016-0852,5,7.5
CVE-2016-0853,5,7.5
CVE-2016-0854,10,9.8
CVE-2016-0855,5,7.5
CVE-2016-0856,10,9.8
CVE-2016-0857,10,9.8
CVE-2016-0858,9.3,8.1
CVE-2016-0859,10,9.8
CVE-2016-0860,10,7.5
CVE-2016-0861,9,8.8
CVE-2016-0862,4,6.5
CVE-2016-0863,7.5,9.8
